Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
False,3,male,22.0,1,0,7.25,s
True,1,female,38.0,1,0,71.2833,c
True,3,female,26.0,0,0,7.925,s
True,1,female,35.0,1,0,53.1,s
False,3,male,35.0,0,0,8.05,s
False,3,male,,0,0,8.4583,q
False,1,male,54.0,0,0,51.8625,s
False,3,male,2.0,3,1,21.075,s
True,,nan,27.0,0,2,11.1333,nan
True,2,female,14.0,1,0,30.0708,c
True,,nan,4.0,1,1,16.7,nan
True,1,female,58.0,0,0,26.55,s
False,3,male,20.0,0,0,8.05,s
False,3,male,39.0,1,5,31.275,s
False,3,female,14.0,0,0,7.8542,s
True,2,female,55.0,0,0,16.0,s
False,3,male,2.0,4,1,29.125,q
True,2,male,,0,0,13.0,s
False,3,female,31.0,1,0,18.0,s
True,,nan,,0,0,7.225,nan
False,2,male,35.0,0,0,26.0,s
True,2,male,34.0,0,0,13.0,s
True,3,female,15.0,0,0,8.0292,q
True,1,male,28.0,0,0,35.5,s
False,3,female,8.0,3,1,21.075,s
True,3,female,38.0,1,5,31.3875,s
False,3,male,,0,0,7.225,c
False,1,male,19.0,3,2,263.0,s
True,3,female,,0,0,7.8792,q
False,3,male,,0,0,7.8958,s
False,1,male,40.0,0,0,27.7208,c
True,1,female,,1,0,146.5208,c
True,,nan,,0,0,7.75,nan
False,2,male,66.0,0,0,10.5,s
False,1,male,28.0,1,0,82.1708,c
False,1,male,42.0,1,0,52.0,s
True,3,male,,0,0,7.2292,c
False,3,male,21.0,0,0,8.05,s
False,3,female,18.0,2,0,18.0,s
True,3,female,14.0,1,0,11.2417,c
False,3,female,40.0,1,0,9.475,s
False,2,female,27.0,1,0,21.0,s
False,3,male,,0,0,7.8958,c
True,2,female,3.0,1,2,41.5792,c
True,3,female,19.0,0,0,7.8792,q
False,3,male,,0,0,8.05,s
False,3,male,,1,0,15.5,q
True,3,female,,0,0,7.75,q
False,3,male,,2,0,21.6792,c
False,3,female,18.0,1,0,17.8,s
False,3,male,7.0,4,1,39.6875,s
False,3,male,21.0,0,0,7.8,s
True,1,female,49.0,1,0,76.7292,c
True,2,female,29.0,1,0,26.0,s
False,1,male,65.0,0,1,61.9792,c
True,1,male,,0,0,35.5,s
True,,nan,21.0,0,0,10.5,nan
False,3,male,28.0,0,0,7.2292,c
True,2,female,5.0,1,2,27.75,s
False,3,male,11.0,5,2,46.9,s
False,3,male,22.0,0,0,7.2292,c
True,1,female,38.0,0,0,80.0,nan
False,1,male,45.0,1,0,83.475,s
False,3,male,4.0,3,2,27.9,s
False,1,male,,0,0,27.7208,c
True,3,male,,1,1,15.2458,c
True,2,female,29.0,0,0,10.5,s
False,3,male,19.0,0,0,8.1583,s
True,3,female,17.0,4,2,7.925,s
False,3,male,26.0,2,0,8.6625,s
False,2,male,32.0,0,0,10.5,s
False,3,female,16.0,5,2,46.9,s
False,2,male,21.0,0,0,73.5,s
False,3,male,26.0,1,0,14.4542,c
True,3,male,32.0,0,0,56.4958,s
False,3,male,25.0,0,0,7.65,s
True,2,male,1.0,0,2,29.0,s
True,,nan,30.0,0,0,12.475,nan
False,3,male,22.0,0,0,9.0,s
True,3,male,29.0,0,0,9.5,s
True,3,female,,0,0,7.7875,q
False,1,male,28.0,0,0,47.1,s
True,2,female,17.0,0,0,10.5,s
True,3,female,33.0,3,0,15.85,s
False,3,male,16.0,1,3,34.375,s
True,1,female,23.0,3,2,263.0,s
False,3,male,24.0,0,0,8.05,s
False,3,male,29.0,0,0,8.05,s
False,3,male,20.0,0,0,7.8542,s
False,1,male,46.0,1,0,61.175,s
False,3,male,26.0,1,2,20.575,s
False,3,male,59.0,0,0,7.25,s
False,1,male,71.0,0,0,34.6542,c
True,,nan,23.0,0,1,63.3583,nan
True,2,female,34.0,0,1,23.0,s
False,2,male,34.0,1,0,26.0,s
False,3,female,28.0,0,0,7.8958,s
False,1,male,21.0,0,1,77.2875,s
False,3,male,33.0,0,0,8.6542,s
False,3,male,37.0,2,0,7.925,s
False,3,male,28.0,0,0,7.8958,s
True,3,female,21.0,0,0,7.65,s
True,,nan,,0,0,7.775,nan
False,3,male,38.0,0,0,7.8958,s
True,3,female,,1,0,24.15,q
False,1,male,47.0,0,0,52.0,s
False,3,female,14.0,1,0,14.4542,c
False,3,male,22.0,0,0,8.05,s
False,3,female,20.0,1,0,9.825,s
False,3,female,17.0,0,0,14.4583,c
False,3,male,21.0,0,0,7.925,s
False,3,male,70.0,0,0,7.75,q
False,2,male,29.0,1,0,21.0,s
False,1,male,24.0,0,1,247.5208,c
False,3,female,2.0,4,2,31.275,s
False,2,male,21.0,2,0,73.5,s
False,2,male,32.0,1,0,30.0708,c
True,2,female,32.0,0,0,13.0,s
False,1,male,54.0,0,1,77.2875,s
True,,nan,12.0,1,0,11.2417,nan
False,3,male,,0,0,7.75,q
True,,nan,24.0,0,0,7.1417,nan
True,3,female,,1,1,22.3583,c
False,3,male,45.0,0,0,6.975,s
False,3,male,33.0,0,0,7.8958,c
False,3,male,20.0,0,0,7.05,s
False,3,female,47.0,1,0,14.5,s
False,2,male,25.0,0,0,13.0,s
False,2,male,23.0,0,0,15.0458,c
True,1,female,19.0,0,2,26.2833,s
False,1,male,37.0,1,0,53.1,s
False,3,male,16.0,0,0,9.2167,s
False,1,male,24.0,0,0,79.2,c
False,3,female,,0,2,15.2458,c
True,3,female,22.0,0,0,7.75,s
True,3,female,24.0,1,0,15.85,s
False,3,male,19.0,0,0,6.75,q
False,2,male,18.0,0,0,11.5,s
False,2,male,19.0,1,1,36.75,s
True,3,male,27.0,0,0,7.7958,s
False,3,female,9.0,2,2,34.375,s
False,2,male,36.0,0,2,26.0,s
False,2,male,42.0,0,0,13.0,s
False,2,male,51.0,0,0,12.525,s
True,1,female,22.0,1,0,66.6,s
False,3,male,56.0,0,0,8.05,s
False,3,male,40.0,0,2,14.5,s
False,3,male,,0,0,7.3125,s
False,1,male,51.0,0,1,61.3792,c
True,3,female,16.0,0,0,7.7333,q
False,3,male,30.0,0,0,8.05,s
False,3,male,,0,0,8.6625,s
False,3,male,,8,2,69.55,s
False,3,male,44.0,0,1,16.1,s
True,,nan,40.0,0,0,15.75,nan
False,3,male,26.0,0,0,7.775,s
False,3,male,17.0,0,0,8.6625,s
False,3,male,1.0,4,1,39.6875,s
True,3,male,9.0,0,2,20.525,s
True,,nan,,0,1,55.0,nan
False,3,female,45.0,1,4,27.9,s
False,1,male,,0,0,25.925,s
False,3,male,28.0,0,0,56.4958,s
False,1,male,61.0,0,0,33.5,s
False,3,male,4.0,4,1,29.125,q
True,3,female,1.0,1,1,11.1333,s
False,1,male,56.0,0,0,30.6958,c
False,3,male,18.0,1,1,7.8542,s
False,3,male,,3,1,25.4667,s
False,1,female,50.0,0,0,28.7125,c
False,2,male,30.0,0,0,13.0,s
False,3,male,36.0,0,0,0.0,s
False,3,female,,8,2,69.55,s
False,2,male,,0,0,15.05,c
False,3,male,9.0,4,2,31.3875,s
True,2,male,1.0,2,1,39.0,s
True,3,female,4.0,0,2,22.025,s
False,1,male,,0,0,50.0,s
True,3,female,,1,0,15.5,q
True,1,male,45.0,0,0,26.55,s
False,3,male,40.0,1,1,15.5,q
False,3,male,36.0,0,0,7.8958,s
True,,nan,32.0,0,0,13.0,nan
False,2,male,19.0,0,0,13.0,s
True,3,female,19.0,1,0,7.8542,s
True,2,male,3.0,1,1,26.0,s
True,1,female,44.0,0,0,27.7208,c
True,1,female,58.0,0,0,146.5208,c
